Database Name,URL,Script File,Status,Timestamp
ACE Equity V2,https://www.acekp.in/HomePage.aspx,ACE Equity V2.py,Error: module 'Codes.ACE Equity V2' has no attribute 'check_access',2025-05-26 11:26:38
ACM Digital Library,https://dl.acm.org/,ACM Digital Library.py,Running,2025-05-26 11:26:56
ACS Publications,https://pubs.acs.org/journal/accacs,ACS Publications.py,Not Running,2025-05-26 11:27:40
American Institute of Physics (AIP),https://pubs.aip.org/aip,American Institute of Physics (AIP).py,Not Running,2025-05-26 11:28:22
American So. of Mech. Engg. (ASME),https://asmedigitalcollection.asme.org/,American So. of Mech. Engg. (ASME).py,Error: No module named 'Codes.American So',2025-05-26 11:28:22
APA PsycArticles,https://psycnet.apa.org/search,,Script file not found,2025-05-26 11:28:22
ARTSTOR,https://www.jstor.org/action/doBasicSearch?Query=art&efqs=eyJjdHkiOlsiWTI5dWRISnBZblYwWldSZmFXMWhaMlZ6IiwiWTI5dWRISnBZblYwWldSZmNHRnViM0poYldGeiJdfQ%3D%3D&image_search_referrer=global&acc=off&searchkey=1747719859883&so=rel,ARTSTOR.py,Not Running,2025-05-26 11:28:40
BIS Standard,https://standards.bsbedge.com/dashboard,BIS Standard.py,Not Running,2025-05-26 11:29:17
Cambridge Uni.Press (15 Jo.) ,https://www.cambridge.org/core/publications/journals#,camb_Uni_Press.py,Running,2025-05-26 11:29:41
EBSCO Business Source Ultimate,https://research.ebsco.com/c/el46ki/search,EBSCO Business Source Ultimate.py,Not Running,2025-05-26 11:30:25
Economic Outlook,https://economicoutlook.cmie.com/,Economic Outlook.py,Not Running,2025-05-26 11:31:01
