Database Name,URL,Script File,Status,Timestamp
American So. of Mech. Engg. (ASME),https://asmedigitalcollection.asme.org/,American So. of Mech. Engg. (ASME).py,Error: No module named 'Codes.American So',2025-05-26 11:42:35
BIS Standard,https://standards.bsbedge.com/dashboard,BIS Standard.py,Not Running,2025-05-26 11:43:25
ACE Equity V2,https://www.acekp.in/HomePage.aspx,ACE Equity V2.py,Not Running,2025-05-26 11:43:26
ACM Digital Library,https://dl.acm.org/,ACM Digital Library.py,Running,2025-05-26 11:43:27
ARTSTOR,https://www.jstor.org/action/doBasicSearch?Query=art&efqs=eyJjdHkiOlsiWTI5dWRISnBZblYwWldSZmFXMWhaMlZ6IiwiWTI5dWRISnBZblYwWldSZmNHRnViM0poYldGeiJdfQ%3D%3D&image_search_referrer=global&acc=off&searchkey=1747719859883&so=rel,ARTSTOR.py,Not Running,2025-05-26 11:43:28
ACS Publications,https://pubs.acs.org/journal/accacs,ACS Publications.py,Not Running,2025-05-26 11:43:50
American Institute of Physics (AIP),https://pubs.aip.org/aip,American Institute of Physics (AIP).py,Not Running,2025-05-26 11:43:53
EBSCO Business Source Ultimate,https://research.ebsco.com/c/el46ki/search,EBSCO Business Source Ultimate.py,Running,2025-05-26 11:44:10
Cambridge Uni.Press (15 Jo.) ,https://www.cambridge.org/core/publications/journals#,camb_Uni_Press.py,Running,2025-05-26 11:44:11
IEEE Xplore Digital Library,https://ieeexplore.ieee.org/Xplore/home.jsp,IEEE Xplore Digital Library.py,Running,2025-05-26 11:44:23
EPWRF,https://epwrfits.in/,EPWRF.py,Not Running,2025-05-26 11:44:23
Economic Outlook,https://economicoutlook.cmie.com/,Economic Outlook.py,Not Running,2025-05-26 11:44:23
Industry Outlook,https://industryoutlook.cmie.com/,Industry Outlook.py,Not Running,2025-05-26 11:44:41
MathScinet,https://mathscinet.ams.org/mathscinet/publications-search,MathScinet.py,Running,2025-05-26 11:44:41
JSTOR,https://www.jstor.org/,JSTOR.py,Running,2025-05-26 11:44:42
ProQuest E-Books Central,https://ebookcentral.proquest.com/lib/ahduniin/home.action,ProQuest E-Books Central.py,Running,2025-05-26 11:45:01
Sage Journals collection ,https://journals.sagepub.com/home,Sage Journals collection.py,Running,2025-05-26 11:45:11
Science Direct,https://www.sciencedirect.com/,Science Direct.py,Running,2025-05-26 11:45:11
Project Muse,https://muse.jhu.edu/,Project Muse.py,Not Running,2025-05-26 11:45:11
Prime Infobase,https://www.primeinfobase.com/myaccount.aspx,Prime Infobase.py,Not Running,2025-05-26 11:45:11
Venture Intelligence PE/VC,https://www.ventureintelligence.com/dashboard,Venture Intelligence.py,Not Running,2025-05-26 11:46:03
Ethics : an International Journal of Social Political and Legal Philosophy,https://www.journals.uchicago.edu/loi/et,ethics.py,Error: module 'Codes.ethics' has no attribute 'check_access',2025-05-26 11:46:03
Psychological Studies (Electronic),https://link.springer.com/journal/12646/volumes-and-issues,Psychological Studies.py,Error: module 'Codes.Psychological Studies' has no attribute 'check_access',2025-05-26 11:46:03
Health Promotion International,https://www.jstor.org/journal/healprominte,Health Promotion International.py,Error: module 'Codes.Health Promotion International' has no attribute 'check_access',2025-05-26 11:46:03
Heritage and Society,https://www.tandfonline.com/loi/yhso20,Heritage and Society.py,Error: module 'Codes.Heritage and Society' has no attribute 'check_access',2025-05-26 11:46:03
International Journal of Number Theory,https://www.worldscientific.com/worldscinet/ijnt?srsltid=AfmBOopRYimEuwWCgVrwQBM0YAp5MhM3-ZC7QPyiarr9GcDOlr-bYUU_,International Journal of Number Theory.py,Error: module 'Codes.International Journal of Number Theory' has no attribute 'check_access',2025-05-26 11:46:03
International Journal of Heritage and Studies,https://www.tandfonline.com/loi/rjhs20,International Journal of Heritage and Studies.py,Error: module 'Codes.International Journal of Heritage and Studies' has no attribute 'check_access',2025-05-26 11:46:03
Scopus,https://www.scopus.com/search/form.uri?display=basic#basic,Scopus.py,Not Running,2025-05-26 11:46:03
States of India,https://statesofindia.cmie.com/,States of India.py,Not Running,2025-05-26 11:46:03
Press reader ,https://www.pressreader.com/,Press reader.py,Running,2025-05-26 11:46:03
Wiley Management Journals Collection,https://onlinelibrary.wiley.com/,Wiley Management Journals Collection.py,Running,2025-05-26 11:46:19
Wiley Online Books,https://onlinelibrary.wiley.com/,Wiley Online Books.py,Running,2025-05-26 11:46:19
Review of Accounting Studies,https://link.springer.com/journal/11142/volumes-and-issues,Review of Accounting Studies.py,Running,2025-05-26 11:46:35
Journal of Financial and Quantitative Analysis,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/all-issues,Journal of Financial and Quantitative Analysis.py,Running,2025-05-26 11:46:35
Journal of the Academy of Marketing Science,https://link.springer.com/journal/11747/volumes-and-issues,Journal of the Academy of Marketing Science.py,Running,2025-05-26 11:46:35
Journal of Political Economy,https://www.journals.uchicago.edu/loi/jpe,Journal of Political Economy.py,Running,2025-05-26 11:46:36
Journal of Business Venturing,https://www.sciencedirect.com/journal/journal-of-business-venturing,Journal of Business Venturing.py,Running,2025-05-26 11:46:44
The Review of Economic Studies,https://www.jstor.org/journal/revieconstud,The Review of Economic Studies.py,Not Running,2025-05-26 11:47:01
Journal of International Business Studies,https://www.jstor.org/journal/jintebusistud,Journal of International Business Studies.py,Not Running,2025-05-26 11:47:09
