Database Name,URL,Script File,Status,Timestamp
BIS Standard,https://standards.bsbedge.com/dashboard,BIS Standard.py,Running,2025-05-27 16:17:14
ACM Digital Library,https://dl.acm.org/,ACM Digital Library.py,Running,2025-05-27 16:17:14
ACE Equity V2,https://www.acekp.in/HomePage.aspx,ACE Equity V2.py,Running,2025-05-27 16:17:14
ARTSTOR,https://www.jstor.org/,ARTSTOR.py,Running,2025-05-27 16:17:14
American Institute of Physics (AIP),https://pubs.aip.org/aip,American Institute of Physics (AIP).py,Running,2025-05-27 16:17:34
ACS Publications,https://pubs.acs.org/journal/accacs,ACS Publications.py,Running,2025-05-27 16:17:35
Economic Outlook,https://economicoutlook.cmie.com/,Economic Outlook.py,Running,2025-05-27 16:17:47
Cambridge Uni.Press (15 Jo.) ,https://www.cambridge.org/core/publications/journals#,camb_Uni_Press.py,Running,2025-05-27 16:17:47
EBSCO Business Source Ultimate,https://research.ebsco.com/c/el46ki/search,EBSCO Business Source Ultimate.py,Running,2025-05-27 16:17:47
EPWRF,https://epwrfits.in/,EPWRF.py,Running,2025-05-27 16:17:47
IEEE Xplore Digital Library,https://ieeexplore.ieee.org/Xplore/home.jsp,IEEE Xplore Digital Library.py,Running,2025-05-27 16:18:10
Industry Outlook,https://industryoutlook.cmie.com/,Industry Outlook.py,Running,2025-05-27 16:18:10
JSTOR,https://www.jstor.org/,JSTOR.py,Running,2025-05-27 16:18:13
Prime Infobase,https://www.primeinfobase.com/myaccount.aspx,Prime Infobase.py,Running,2025-05-27 16:18:23
MathScinet,https://mathscinet.ams.org/mathscinet/publications-search,MathScinet.py,Running,2025-05-27 16:18:23
ProQuest E-Books Central,https://ebookcentral.proquest.com/lib/ahduniin/home.action,ProQuest E-Books Central.py,Running,2025-05-27 16:18:34
Sage Journals collection ,https://journals.sagepub.com/home,Sage Journals collection.py,Running,2025-05-27 16:18:35
Science Direct,https://www.sciencedirect.com/,Science Direct.py,Running,2025-05-27 16:18:36
States of India,https://statesofindia.cmie.com/,States of India.py,Running,2025-05-27 16:19:10
Venture Intelligence PE/VC,https://www.ventureintelligence.com/dashboard,Venture Intelligence.py,Running,2025-05-27 16:19:10
Scopus,https://www.scopus.com/search/form.uri?display=basic#basic,Scopus.py,Running,2025-05-27 16:19:25
Wiley Management Journals Collection,https://onlinelibrary.wiley.com/,Wiley Management Journals Collection.py,Running,2025-05-27 16:19:26
Wiley Online Books,https://onlinelibrary.wiley.com/,Wiley Online Books.py,Running,2025-05-27 16:19:26
Ethics : an International Journal of Social Political and Legal Philosophy,https://www.journals.uchicago.edu/loi/et,ethics.py,Running,2025-05-27 16:19:49
Psychological Studies (Electronic),https://link.springer.com/journal/12646/volumes-and-issues,Psychological Studies.py,Running,2025-05-27 16:19:50
Press reader ,https://www.pressreader.com/,Press reader.py,Not Running,2025-05-27 16:19:52
Heritage and Society,https://www.tandfonline.com/loi/yhso20,Heritage and Society.py,Running,2025-05-27 16:20:10
Health Promotion International,https://www.jstor.org/journal/,Health Promotion International.py,Running,2025-05-27 16:20:10
International Journal of Number Theory,https://www.worldscientific.com/worldscinet/ijnt?srsltid=AfmBOopRYimEuwWCgVrwQBM0YAp5MhM3-ZC7QPyiarr9GcDOlr-bYUU_,International Journal of Number Theory.py,Running,2025-05-27 16:20:23
International Journal of Heritage and Studies,https://www.tandfonline.com/loi/rjhs20,International Journal of Heritage and Studies.py,Running,2025-05-27 16:20:23
Journal of Financial and Quantitative Analysis,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/all-issues,Journal of Financial and Quantitative Analysis.py,Running,2025-05-27 16:20:23
The Review of Economic Studies,https://www.jstor.org/,The Review of Economic Studies.py,Running,2025-05-27 16:20:59
Journal of the Academy of Marketing Science,https://link.springer.com/journal/11747/volumes-and-issues,Journal of the Academy of Marketing Science.py,Running,2025-05-27 16:20:59
Review of Accounting Studies,https://link.springer.com/journal/11142/volumes-and-issues,Review of Accounting Studies.py,Running,2025-05-27 16:20:59
Journal of International Business Studies,https://www.jstor.org/,Journal of International Business Studies.py,Running,2025-05-27 16:20:59
Journal of Business Venturing,https://www.sciencedirect.com/journal/journal-of-business-venturing,Journal of Business Venturing.py,Running,2025-05-27 16:21:15
Annals of Statistics  ,https://projecteuclid.org/journals/annals-of-statistics/issues,Annals of Statistics.py,Running,2025-05-27 16:21:17
Springer LNCS (5296 books),https://link.springer.com/book/10.1007/978-3-030-44830-1,Springer LNCS.py,Running,2025-05-27 16:21:18
Oxford University Press,https://academic.oup.com/,Oxford University Press.py,Running,2025-05-27 16:21:33
Project Muse,https://muse.jhu.edu/,Project Muse.py,Not Running,2025-05-27 16:22:53
