Database Name,URL,Script File,Status,Timestamp
BIS Standard,https://standards.bsbedge.com/dashboard,BIS Standard.py,Running,2025-05-27 12:22:20
ACM Digital Library,https://dl.acm.org/,ACM Digital Library.py,Running,2025-05-27 12:22:25
ARTSTOR,https://www.jstor.org/,ARTSTOR.py,Running,2025-05-27 12:22:27
ACS Publications,https://pubs.acs.org/journal/accacs,ACS Publications.py,Running,2025-05-27 12:22:28
American Institute of Physics (AIP),https://pubs.aip.org/aip,American Institute of Physics (AIP).py,Not Running,2025-05-27 12:22:47
ACE Equity V2,https://www.acekp.in/HomePage.aspx,ACE Equity V2.py,Not Running,2025-05-27 12:22:48
EPWRF,https://epwrfits.in/,EPWRF.py,Running,2025-05-27 12:22:49
Economic Outlook,https://economicoutlook.cmie.com/,Economic Outlook.py,Running,2025-05-27 12:22:50
Cambridge Uni.Press (15 Jo.) ,https://www.cambridge.org/core/publications/journals#,camb_Uni_Press.py,Running,2025-05-27 12:23:11
EBSCO Business Source Ultimate,https://research.ebsco.com/c/el46ki/search,EBSCO Business Source Ultimate.py,Running,2025-05-27 12:23:11
Industry Outlook,https://industryoutlook.cmie.com/,Industry Outlook.py,Running,2025-05-27 12:23:11
JSTOR,https://www.jstor.org/,JSTOR.py,Running,2025-05-27 12:23:12
IEEE Xplore Digital Library,https://ieeexplore.ieee.org/Xplore/home.jsp,IEEE Xplore Digital Library.py,Not Running,2025-05-27 12:23:32
Prime Infobase,https://www.primeinfobase.com/myaccount.aspx,Prime Infobase.py,Running,2025-05-27 12:23:33
MathScinet,https://mathscinet.ams.org/mathscinet/publications-search,MathScinet.py,Running,2025-05-27 12:23:33
ProQuest E-Books Central,https://ebookcentral.proquest.com/lib/ahduniin/home.action,ProQuest E-Books Central.py,Running,2025-05-27 12:23:45
Project Muse,https://muse.jhu.edu/,Project Muse.py,Running,2025-05-27 12:23:45
Sage Journals collection ,https://journals.sagepub.com/home,Sage Journals collection.py,Not Running,2025-05-27 12:23:53
States of India,https://statesofindia.cmie.com/,States of India.py,Running,2025-05-27 12:24:31
Wiley Management Journals Collection,https://onlinelibrary.wiley.com/,Wiley Management Journals Collection.py,Not Running,2025-05-27 12:24:31
Science Direct,https://www.sciencedirect.com/,Science Direct.py,Not Running,2025-05-27 12:24:31
Venture Intelligence PE/VC,https://www.ventureintelligence.com/dashboard,Venture Intelligence.py,Running,2025-05-27 12:24:32
Wiley Online Books,https://onlinelibrary.wiley.com/,Wiley Online Books.py,Not Running,2025-05-27 12:24:32
Scopus,https://www.scopus.com/search/form.uri?display=basic#basic,Scopus.py,Not Running,2025-05-27 12:24:45
International Journal of Number Theory,https://www.worldscientific.com/worldscinet/ijnt?srsltid=AfmBOopRYimEuwWCgVrwQBM0YAp5MhM3-ZC7QPyiarr9GcDOlr-bYUU_,International Journal of Number Theory.py,Not Running,2025-05-27 12:25:36
Health Promotion International,https://www.jstor.org/journal/,Health Promotion International.py,Not Running,2025-05-27 12:25:36
Psychological Studies (Electronic),https://link.springer.com/journal/12646/volumes-and-issues,Psychological Studies.py,Running,2025-05-27 12:25:36
Ethics : an International Journal of Social Political and Legal Philosophy,https://www.journals.uchicago.edu/loi/et,ethics.py,Not Running,2025-05-27 12:25:37
Heritage and Society,https://www.tandfonline.com/loi/yhso20,Heritage and Society.py,Not Running,2025-05-27 12:25:37
Press reader ,https://www.pressreader.com/,Press reader.py,Running,2025-05-27 12:25:39
Journal of Business Venturing,https://www.sciencedirect.com/journal/journal-of-business-venturing,Journal of Business Venturing.py,Not Running,2025-05-27 12:26:38
The Review of Economic Studies,https://www.jstor.org/,The Review of Economic Studies.py,Running,2025-05-27 12:26:38
Review of Accounting Studies,https://link.springer.com/journal/11142/volumes-and-issues,Review of Accounting Studies.py,Running,2025-05-27 12:26:38
Journal of Financial and Quantitative Analysis,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/all-issues,Journal of Financial and Quantitative Analysis.py,Running,2025-05-27 12:26:38
Journal of the Academy of Marketing Science,https://link.springer.com/journal/11747/volumes-and-issues,Journal of the Academy of Marketing Science.py,Running,2025-05-27 12:26:38
International Journal of Heritage and Studies,https://www.tandfonline.com/loi/rjhs20,International Journal of Heritage and Studies.py,Not Running,2025-05-27 12:26:38
Journal of International Business Studies,https://www.jstor.org/,Journal of International Business Studies.py,Running,2025-05-27 12:26:58
